node_id,x,y,label,type
O32877196,116.425429,39.9494261,,normal
O32877197,116.4335225,39.9407541,,normal
O32877202,116.4340788,39.9407688,,normal
O32877206,116.4346723,39.9412101,,normal
O32877217,116.4620533,39.9413781,,normal
O32877275,116.4729104,39.9337874,,normal
O32877279,116.4620058,39.9334674,,normal
O32899013,116.4091343,39.9272875,,normal
O32899017,116.4554714,39.9413295,,normal
O34710777,116.4686102,39.9489127,,normal
O34710869,116.4620143,39.9470867,,normal
O34710872,116.4662656,39.9476751,,normal
O34710874,116.4672646,39.9478671,,normal
O34710876,116.4680667,39.9482235,,normal
O34928517,116.4749053,39.9680757,,normal
O34928522,116.4792544,39.9719849,,normal
O34928634,116.4895339,39.9498736,,normal
O34928733,116.4814909,39.9779733,,normal
O35549783,116.4669988,39.9293802,,normal
O35551151,116.4375877,39.9269239,,normal
O35551157,116.4504441,39.926966,,normal
O35551808,116.4504654,39.9336483,,normal
O35552053,116.4505258,39.9413048,,normal
O35552056,116.4505399,39.9457003,,normal
O35552057,116.4505452,39.9469433,,normal
O35552058,116.4505155,39.9472283,,normal
O35552059,116.4502367,39.9475643,,normal
O35552313,116.4876868,39.957894,,normal
O35552314,116.4841318,39.9565487,,normal
O35552318,116.4766859,39.9541359,,normal
O35552319,116.4738199,39.9531863,,normal
O35552320,116.4714367,39.9525348,,normal
O35552322,116.4622703,39.9494886,,normal
O35552324,116.4554946,39.9483108,,normal
O35552589,116.4659102,39.9599579,,normal
O35553136,116.4620748,39.943878,,normal
O35554233,116.4620473,39.9509992,,normal
O35554234,116.4620453,39.9514664,,normal
O35554236,116.4608775,39.9534724,,normal
O35554237,116.4601521,39.9540836,,normal
O35554238,116.4578371,39.9556319,,normal
O35554805,116.517196,39.9403088,,normal
O35554808,116.5022058,39.9362173,,normal
O35554809,116.4953643,39.9341763,,normal
O35554810,116.4942447,39.9339127,,normal
O35554811,116.4924893,39.9336867,,normal
O35555070,116.4784199,39.9311824,,normal
O35555071,116.4782628,39.9310302,,normal
O35555110,116.4795208,39.9312074,,normal
O35555613,116.48661,39.9313641,,normal
O35555615,116.4845966,39.9312851,,normal
O35555616,116.4832308,39.9312701,,normal
O35555619,116.4819612,39.9312373,,normal
O35558606,116.4705902,39.9447739,,normal
O35835325,116.4618532,39.944232,,normal
O35835327,116.4618808,39.9512334,,normal
O35835378,116.461829,39.9346016,,normal
O35835418,116.4616665,39.9325236,,normal
O35835419,116.4616719,39.9345995,,normal
O35835420,116.4616836,39.9373406,,normal
O35835425,116.4617254,39.9504771,,normal
O35835426,116.4617169,39.9511545,,normal
O35835427,116.4616002,39.9518347,,normal
O35835428,116.4614115,39.9523872,,normal
O35835567,116.4618232,39.9517316,,normal
O35835568,116.4617935,39.9518752,,normal
O35835569,116.4615741,39.9524621,,normal
O35835570,116.4618907,39.9522349,,normal
O35835571,116.4617894,39.9525373,,normal
O35835572,116.4615641,39.9529437,,normal
O35835573,116.4604628,39.9541601,,normal
O35835575,116.4611449,39.9528634,,normal
O35835576,116.4609337,39.9531442,,normal
O35835577,116.4603041,39.9537875,,normal
O35835579,116.4620535,39.9472916,,normal
O35835582,116.4575469,39.9465277,,normal
O35835744,116.4847504,39.9312883,,normal
O35835749,116.4904113,39.9337796,,normal
O35835807,116.4897459,39.9411746,,normal
O35835809,116.4897414,39.9341861,,normal
O35835810,116.4853545,39.9602907,,normal
O35835811,116.4895699,39.9536983,,normal
O35835840,116.4751637,39.9677036,,normal
O35835843,116.4813106,39.9635961,,normal
O35835844,116.4836582,39.9619495,,normal
O35835845,116.4845626,39.9612335,,normal
O35835846,116.4855235,39.9603956,,normal
O35835847,116.4863336,39.9593068,,normal
O35835848,116.4871676,39.9582675,,normal
O35835849,116.487523,39.9577998,,normal
O35835850,116.4879286,39.9571494,,normal
O35835851,116.4885508,39.9559593,,normal
O35835852,116.489037,39.9546521,,normal
O35835853,116.489291,39.9537249,,normal
O35835854,116.4894988,39.9528102,,normal
O35835855,116.4896321,39.951865,,normal
O35835856,116.4897106,39.9508104,,normal
O35835979,116.4668974,39.968887,,normal
O35836100,116.4749717,39.9763907,,normal
O35836103,116.46672,39.9689429,,normal
O35836658,116.4673872,39.9693417,,normal
O35847189,116.4897458,39.933244,,normal
O35863197,116.3198988,39.9854844,,normal
O35863200,116.3268935,39.9857064,,normal
O35863202,116.3328692,39.9859176,,normal
O35863261,116.3341728,39.9673095,,normal
O35863755,116.3416086,39.986339,,normal
O35863758,116.3501652,39.9866458,,normal
O35863763,116.3570477,39.9868894,,normal
O35864175,116.3537809,39.9863874,,normal
O35864448,116.3566877,39.9867371,,normal
O35864450,116.3581824,39.986783,,normal
O35867274,116.4510749,39.9601365,,normal
O35867281,116.4442114,39.9646324,,normal
O35867288,116.4376284,39.9688921,,normal
O35867289,116.4372721,39.9690859,,normal
O35867290,116.4364641,39.9693867,,normal
O35867291,116.4352281,39.9696138,,normal
O35867292,116.4346455,39.9696516,,normal
O35867293,116.4338914,39.9696384,,normal
O35867305,116.3958239,39.9686783,,normal
O35867598,116.3743321,39.9680939,,normal
O35867599,116.3736042,39.9680548,,normal
O35868026,116.3667851,39.9678375,,normal
O35868032,116.3498033,39.9677188,,normal
O35868034,116.3432785,39.9676417,,normal
O35868038,116.331435,39.9674933,,normal
O35868040,116.330376,39.9674467,,normal
O35868883,116.3267,39.9672963,,normal
O35868885,116.3226124,39.9671506,,normal
O35868886,116.321481,39.9670211,,normal
O35868887,116.3208514,39.9668936,,normal
O35868889,116.3197854,39.9665511,,normal
O35868893,116.3100173,39.9630586,,normal
O35868894,116.309628,39.9628964,,normal
O35868895,116.3093838,39.9627446,,normal
O35868896,116.30877,39.9622476,,normal
O35868897,116.3086027,39.9620167,,normal
O35868898,116.3083246,39.9614101,,normal
O35868900,116.3082685,39.9610541,,normal
O35868901,116.3083071,39.9603121,,normal
O35868903,116.3087941,39.958353,,normal
O35868904,116.3090719,39.9571155,,normal
O35868905,116.3091629,39.9564728,,normal
O35868908,116.3095169,39.9521435,,normal
O35868913,116.3100305,39.9432097,,normal
O35869359,116.3101686,39.9309912,,normal
O35869360,116.310132,39.9272534,,normal
O35874511,116.4840162,39.9763385,,normal
O36380666,116.4406727,39.9841171,,normal
O36380667,116.4418806,39.9859946,,normal
O36380668,116.4437977,39.9888582,,normal
O36380675,116.4512916,40.0018092,,normal
O36544039,116.4897372,39.9504788,,normal
O36551783,116.4895,39.9340799,,normal
O36704090,116.4618322,39.9325201,,normal
O36704368,116.4620224,39.936696,,normal
O36704414,116.4614676,39.9367119,,normal
O36704472,116.4614727,39.9392304,,normal
O36704579,116.4611934,39.9336574,,normal
O36704581,116.4614277,39.9295918,,normal
O36704964,116.4615716,39.9244341,,normal
O64486190,116.3549192,39.9578119,,normal
O64490206,116.3589205,39.9445245,,normal
O64494022,116.3560199,39.9429945,,normal
O64494023,116.356294,39.94337,,normal
O64494024,116.3572328,39.94403,,normal
O64497884,116.3513396,39.9401393,,normal
O64499347,116.3538589,39.9404475,,normal
O64603176,116.4895275,39.9299257,,normal
O64603538,116.4895203,39.9314211,,normal
O64603697,116.4895121,39.9316548,,normal
O64603903,116.4897094,39.9309303,,normal
O66420639,116.489944,39.9507501,,normal
O66420650,116.4881195,39.9572203,,normal
O66420659,116.4811685,39.9634874,,normal
O72860539,116.5240998,40.0181707,,normal
O72860541,116.5227454,40.0176318,,normal
O72860543,116.5199601,40.0162841,,normal
O72860544,116.5185056,40.0154137,,normal
O72860547,116.5171632,40.0144178,,normal
O72860550,116.5161703,40.0135945,,normal
O72860551,116.5143523,40.0119938,,normal
O72860554,116.514122,40.0117742,,normal
O72860565,116.5011893,40.0001166,,normal
O72860570,116.4891568,39.989159,,normal
O76456788,116.4822299,39.9746782,,normal
O76456794,116.4897533,39.972553,,normal
O76456796,116.4898653,39.967551,,normal
O76456803,116.4879598,39.9890014,,normal
O76456804,116.4894895,39.9879678,,normal
O76456805,116.4895119,39.9878171,,normal
O76456817,116.4689448,39.9627014,,normal
O76456821,116.4599927,39.9546394,,normal
O76456822,116.4592696,39.9540999,,normal
