edge_id,from,to,road_name,scenario,event_id,event_name,danger_type,distance_to_event_km,influence_radius_km,mapping_method,source_url
OSM11781,O6536561395,O13440044736,新会路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2742,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM11782,O13440044736,O13434131830,新会路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2737,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM11783,O13434131830,O6536561396,新会路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.274,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM13272,O8872390206,O8872390207,北横通道,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4155,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM13273,O8872390207,O8872390208,北横通道,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3614,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM13274,O8872390208,O8872390209,北横通道,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3394,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM13275,O8872390209,O8872390210,北横通道,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3243,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM13276,O8872390210,O8872390211,北横通道,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3087,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM13277,O8872390211,O8872390212,北横通道,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2974,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM13278,O8872390212,O8872390213,北横通道,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2871,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
