node_id,x,y,label,type
O64837062,121.471955,31.2154681,,normal
O64837067,121.4765603,31.2168579,,normal
O64837068,121.4776916,31.2172804,,normal
O64837069,121.4797231,31.2179383,,normal
O64841408,121.473464,31.2080925,,normal
O64841409,121.4727553,31.2096911,,normal
O64841410,121.4718329,31.2111895,,normal
O64841411,121.4707744,31.2129029,,normal
O64841412,121.4705484,31.2137408,,normal
O64841414,121.4705422,31.2142822,,normal
O64841416,121.4707302,31.2152132,,normal
O64841417,121.471101,31.2166387,,normal
O64841419,121.4719198,31.219879,,normal
O64841420,121.4718656,31.2207294,,normal
O64841425,121.469929,31.2237803,,normal
O64841426,121.4682457,31.225439,,normal
O64841427,121.4675639,31.2264802,,normal
O64841428,121.4672571,31.2279254,,normal
O64846819,121.4627891,31.2268683,,normal
O64846820,121.4642931,31.2272408,,normal
O64846821,121.465863,31.227462,,normal
O64846822,121.4673514,31.2275502,,normal
O64846823,121.4673822,31.2284874,,normal
O64849276,121.4621222,31.2309791,,normal
O64849280,121.4606128,31.2305483,,normal
O64849283,121.4585066,31.2292895,,normal
O64849286,121.4576394,31.2287959,,normal
O64849287,121.4566204,31.2282572,,normal
O64849291,121.4537996,31.2271158,,normal
O64849294,121.4516013,31.2259037,,normal
O64849297,121.4500705,31.2251576,,normal
O64849817,121.4509191,31.2240432,,normal
O64869242,121.4368732,31.2540504,,normal
O64869243,121.4377901,31.254429,,normal
O64869244,121.4409982,31.2556768,,normal
O64869247,121.4429737,31.2564472,,normal
O64869248,121.4462128,31.2574389,,normal
O64869249,121.4498057,31.2581563,,normal
O64914956,121.465216,31.2366402,,normal
O64917312,121.466957,31.2301235,,normal
O64917995,121.4666593,31.2323029,,normal
O64923860,121.4696029,31.2223205,,normal
O64925321,121.4716907,31.2208708,,normal
O64925322,121.4717758,31.2202525,,normal
O64925324,121.4717163,31.2194953,,normal
O64925325,121.4715687,31.2187348,,normal
O64925326,121.4710582,31.2169699,,normal
O64926223,121.4708396,31.2226111,,normal
O65667395,121.4343825,31.2152208,,normal
O65667396,121.4352894,31.2159759,,normal
O65667398,121.4370442,31.217135,,normal
O66899647,121.4475531,31.2238219,,normal
O66899648,121.4452168,31.222634,,normal
O68065435,121.4761111,31.2006838,,normal
O68522266,121.4321085,31.2162898,,normal
O68522692,121.4230901,31.2096132,,normal
O68522712,121.4224231,31.2094592,,normal
O68522804,121.4241526,31.2098463,,normal
O68522992,121.420783,31.2091692,,normal
O68523085,121.4110777,31.2055777,,normal
O68523208,121.410815,31.2053833,,normal
