edge_id,from,to,road_name,traffic_road_name,traffic_status,traffic_status_label,traffic_speed_kmh,original_congestion,mapped_congestion,traffic_captured_at
OSM03870,O1859937423,O1859937425,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03871,O1859937425,O1658147464,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03872,O1658147464,O10790380553,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03873,O10790380553,O1859937424,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03874,O1859937424,O10790380554,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03875,O10790380554,O1658073668,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM03876,O1658073668,O1658147463,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM04277,O528867992,O528867993,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04278,O528867993,O528867997,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04279,O528867997,O528868001,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04280,O528868001,O528868002,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04281,O528868002,O1976297575,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04282,O1976297575,O342720351,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04283,O342720351,O5620931009,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04284,O5620931009,O528868005,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04285,O528868005,O528868009,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04286,O528868009,O9797859402,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04287,O9797859402,O9797859403,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04288,O9797859403,O528868011,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04289,O528868011,O4253292805,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04290,O4253292805,O528868013,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04291,O528868013,O1976297662,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04292,O1976297662,O11048277953,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04293,O11048277953,O528868018,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04294,O528868018,O9797859398,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04295,O9797859398,O528868022,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04296,O528868022,O528868025,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04297,O528868025,O340417048,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04298,O340417048,O5620931004,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04299,O5620931004,O11048296166,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04300,O11048296166,O11048296164,旧鼓楼大街,旧鼓楼大街,1,expedite,25,0.08,0.08,2026-06-23T17:30:01
OSM04684,O529503345,O1359329091,鼓楼外大街,鼓楼外大街,1,expedite,35,0.08,0.08,2026-06-23T17:30:01
OSM04685,O1359329091,O9702382559,鼓楼外大街,鼓楼外大街,1,expedite,35,0.08,0.08,2026-06-23T17:30:01
OSM04686,O9702382559,O2358646265,鼓楼外大街,鼓楼外大街,1,expedite,35,0.08,0.08,2026-06-23T17:30:01
OSM04687,O2358646265,O1359329000,鼓楼外大街,鼓楼外大街,1,expedite,35,0.08,0.08,2026-06-23T17:30:01
OSM04688,O1359329000,O1359328998,鼓楼外大街,鼓楼外大街,1,expedite,35,0.08,0.08,2026-06-23T17:30:01
OSM04689,O1359328998,O274845696,鼓楼外大街,鼓楼外大街,1,expedite,35,0.08,0.08,2026-06-23T17:30:01
OSM05577,O27547627,O9867378394,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05578,O9867378394,O9867378397,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05579,O9867378397,O9867378396,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05580,O9867378396,O9867378395,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05581,O9867378395,O9867378390,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05582,O9867378390,O9867378393,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05583,O9867378393,O9867378388,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05584,O9867378388,O9867378392,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05585,O9867378392,O9867378389,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05586,O9867378389,O9867378391,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05587,O9867378391,O9867378387,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05588,O9867378387,O9867378432,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05589,O9867378432,O656033434,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05590,O656033434,O9867378431,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05591,O9867378431,O9867378424,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05592,O9867378424,O9867378430,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05593,O9867378430,O9867378425,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05594,O9867378425,O9867378398,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05595,O9867378398,O9867378429,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05596,O9867378429,O9867378426,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05597,O9867378426,O9867378423,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05598,O9867378423,O9867378427,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05599,O9867378427,O656033436,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05600,O656033436,O9867378428,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM05601,O9867378428,O9867378422,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
