record_id,captured_at,query_location,query_radius_m,query_level,area_description,evaluation_status,evaluation_description,evaluation_expedite,evaluation_congested,evaluation_blocked,evaluation_unknown,road_name,status,status_label,direction,angle,speed_kmh,lcodes,polyline
TR0021,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园北一路,1,expedite,从朝阳体育中心西路到星火东路,178,35,"-9407,-9406,-9405","116.525208,39.9474258;116.525154,39.9474258;116.525162,39.9474258;116.52507,39.947422;116.523857,39.9474449;116.523216,39.9474373;116.521561,39.9473228;116.520828,39.9473038;116.519859,39.9472771;116.519661,39.9472847;116.519272,39.9472885;116.517082,39.9473877;116.514099,39.947525;116.511986,39.9476357"
TR0022,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,星火东路,1,expedite,从东坝路到姚家园北一路,93,30,9402,"116.512108,39.9461899;116.512054,39.9471283;116.512039,39.9473648;116.512001,39.9476357"
TR0023,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,星火东路,1,expedite,从姚家园北二路到将台路,97,53,8569,"116.511559,39.9497833;116.511383,39.9508476"
TR0024,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,星火东路,1,expedite,从将台路到姚家园北路,275,36,"-9403,-9402,-8568,-8567","116.511345,39.9508438;116.51152,39.9497795;116.511963,39.9476357;116.511963,39.9475784;116.512001,39.947361;116.512016,39.9471283;116.51207,39.9461899;116.5121,39.9447327"
TR0025,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,酒仙桥路,1,expedite,从东风南路到红霞路,121,30,"6945,6946","116.500427,39.9536629;116.500038,39.9548569;116.499825,39.9555435;116.499481,39.9565277;116.498772,39.9585457;116.49826,39.9598885;116.498169,39.9600983;116.498077,39.9603691;116.498001,39.9606094;116.497864,39.9609299;116.497803,39.9610748;116.49778,39.9611282;116.497726,39.9611855;116.497635,39.9612656;116.497269,39.9615021;116.496033,39.9623566;116.495193,39.9629059;116.494621,39.9632683;116.493584,39.9639549;116.492943,39.9643898;116.492462,39.9646835;116.491608,39.9652901;116.491203,39.9655457;116.490273,39.9661522;116.490181,39.9662437;116.490135,39.966301;116.489975,39.966507"
TR0026,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,酒仙桥路,1,expedite,京密路附近,317,27,-6952,"116.487823,39.9890671;116.487961,39.9889717"
TR0027,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,酒仙桥路,1,expedite,从酒仙桥南路到东风南路,293,30,-6942,"116.495163,39.962883;116.49601,39.9623337;116.497246,39.9614792;116.49762,39.9612427;116.497696,39.9611702;116.497742,39.9611168;116.497772,39.9610634;116.497833,39.9609184;116.497963,39.9606018;116.498047,39.9603691;116.497932,39.9603424;116.498047,39.9600563;116.498131,39.9598541;116.49865,39.9585152;116.498825,39.9579964;116.499344,39.9565315;116.499519,39.9559822;116.499687,39.9555206;116.49984,39.9550362;116.499985,39.9546204;116.500282,39.9537201"
TR0028,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园北路,1,expedite,从东四环北路辅路到东坝路,7,30,"9462,9463","116.490181,39.9405441;116.491112,39.9405365;116.491806,39.9405289;116.492104,39.9405289;116.493813,39.9405251;116.494598,39.9405365;116.494827,39.9405518;116.494896,39.9405327;116.495049,39.9405327;116.496086,39.940506;116.497353,39.9404488;116.497795,39.9404221;116.497955,39.9404144;116.498314,39.9404297;116.49968,39.9404106;116.500587,39.9404144;116.501526,39.9404716;116.501671,39.9404831;116.501686,39.9409332;116.502007,39.9411583;116.502136,39.941227;116.502205,39.9412498;116.502274,39.9412575;116.50235,39.9412651;116.502533,39.9412651;116.50309,39.9412766;116.503441,39.9412804;116.503777,39.941288;116.50415,39.941288;116.504478,39.9412918;116.50457,39.9413033;116.504707,39.94133;116.507645,39.9421501;116.508141,39.942276"
TR0029,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园北路,1,expedite,从东坝路到东四环北路辅路,187,30,"-9462,-9461","116.508293,39.9424133;116.507339,39.9421463;116.505905,39.9417191;116.504646,39.9413795;116.504562,39.9413605;116.50441,39.9413528;116.503441,39.9413414;116.503075,39.9413338;116.50267,39.94133;116.502296,39.9413376;116.50219,39.9413261;116.502098,39.9412918;116.502045,39.9412651;116.501953,39.941227;116.501709,39.9410591;116.501663,39.9405174;116.501526,39.9404984;116.500587,39.9404449;116.49968,39.9404411;116.498314,39.9404564;116.497963,39.9404945;116.497795,39.9405022;116.49733,39.9405251;116.496674,39.9405518;116.49501,39.940609;116.494904,39.940609;116.49482,39.9405785;116.494598,39.940567;116.493813,39.9405556;116.492104,39.9405594;116.491806,39.9405556;116.491112,39.9405632;116.490181,39.940567"
TR0030,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园北路,1,expedite,从星火东路到朝阳体育中心西路,359,30,"9387,9394","116.512115,39.9447327;116.512367,39.9446945;116.514381,39.9446106;116.515663,39.9445648;116.51651,39.9445381;116.517105,39.9445114;116.517273,39.9444847;116.518272,39.944458;116.519524,39.9444122;116.520142,39.9444313;116.520638,39.9444313;116.521149,39.9444618;116.52256,39.944519;116.525482,39.9445763;116.525528,39.9445763"
