edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
OSM00072,O1918810087,O1802366834,0.0048,normal,0.05,true,亮马桥中街,OSM residential way 4964849,"116.4712153,39.9526195;116.4712274,39.9525775",osm,osm_residential,4964849,71
OSM00073,O245145493,O1114039032,0.0073,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4366467,39.9336300;116.4366473,39.9335641",osm,osm_tertiary,5135877,72
OSM00074,O1114039032,O12865318619,0.0117,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4366473,39.9335641;116.4366481,39.9334592",osm,osm_tertiary,5135877,73
OSM00075,O12865318619,O922922296,0.1202,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4366481,39.9334592;116.4366557,39.9323783",osm,osm_tertiary,5135877,74
OSM00076,O922922296,O245145494,0.085,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4366557,39.9323783;116.4366612,39.9316138",osm,osm_tertiary,5135877,75
OSM00077,O245145494,O317994352,0.0683,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4366612,39.9316138;116.4366642,39.9309992",osm,osm_tertiary,5135877,76
OSM00078,O317994352,O245145495,0.026,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4366642,39.9309992;116.4366673,39.9307652",osm,osm_tertiary,5135877,77
OSM00079,O245145495,O922954337,0.0584,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4366673,39.9307652;116.4368186,39.9302527",osm,osm_tertiary,5135877,78
OSM00080,O922954337,O100634162,0.0337,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4368186,39.9302527;116.4369055,39.9299570",osm,osm_tertiary,5135877,79
OSM00081,O100634162,O100634163,0.0483,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4369055,39.9299570;116.4370446,39.9295355",osm,osm_tertiary,5135877,80
OSM00082,O100634163,O3574751715,0.0043,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4370446,39.9295355;116.4370577,39.9294986",osm,osm_tertiary,5135877,81
OSM00083,O3574751715,O100634165,0.0749,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4370577,39.9294986;116.4372899,39.9288486",osm,osm_tertiary,5135877,82
OSM00084,O100634165,O534075678,0.0404,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4372899,39.9288486;116.4373950,39.9284941",osm,osm_tertiary,5135877,83
OSM00085,O534075678,O100634166,0.0245,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4373950,39.9284941;116.4374656,39.9282809",osm,osm_tertiary,5135877,84
OSM00086,O100634166,O1038256873,0.0311,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4374656,39.9282809;116.4375190,39.9280045",osm,osm_tertiary,5135877,85
OSM00087,O1038256873,O100634167,0.0407,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4375190,39.9280045;116.4375547,39.9276392",osm,osm_tertiary,5135877,86
OSM00088,O100634167,O35551151,0.0796,normal,0.08,true,东中街,OSM tertiary way 5135877,"116.4375547,39.9276392;116.4375877,39.9269239",osm,osm_tertiary,5135877,87
OSM00089,O9385110314,O12865299863,0.014,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4901900,39.9336429;116.4903543,39.9336487",osm,osm_primary,5135894,88
OSM00090,O12865299863,O1807791733,0.0992,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4903543,39.9336487;116.4915180,39.9336657",osm,osm_primary,5135894,89
OSM00091,O1807791733,O5808994065,0.0175,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4915180,39.9336657;116.4917233,39.9336685",osm,osm_primary,5135894,90
OSM00092,O5808994065,O35554811,0.0653,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4917233,39.9336685;116.4924893,39.9336867",osm,osm_primary,5135894,91
OSM00093,O35554811,O1802398471,0.0375,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4924893,39.9336867;116.4929261,39.9337231",osm,osm_primary,5135894,92
OSM00094,O1802398471,O1802398475,0.0503,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4929261,39.9337231;116.4935068,39.9338004",osm,osm_primary,5135894,93
OSM00095,O1802398475,O35554810,0.0641,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4935068,39.9338004;116.4942447,39.9339127",osm,osm_primary,5135894,94
OSM00096,O35554810,O1859924741,0.0857,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4942447,39.9339127;116.4952054,39.9341387",osm,osm_primary,5135894,95
OSM00097,O1859924741,O35554809,0.0142,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4952054,39.9341387;116.4953643,39.9341763",osm,osm_primary,5135894,96
OSM00098,O35554809,O1859924744,0.0073,congestion,0.6,true,姚家园路,OSM primary way 5135894,"116.4953643,39.9341763;116.4954447,39.9341990",osm,osm_primary,5135894,97
OSM00099,O35555070,O2207734693,0.0132,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4784199,39.9311824;116.4782651,39.9311753",osm,osm_tertiary,5135897,98
OSM00100,O2207734693,O9722740871,0.0283,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4782651,39.9311753;116.4779365,39.9311377",osm,osm_tertiary,5135897,99
OSM00101,O9722740871,O9722740870,0.0962,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4779365,39.9311377;116.4768084,39.9311202",osm,osm_tertiary,5135897,100
OSM00102,O9722740870,O9722740869,0.036,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4768084,39.9311202;116.4763862,39.9311315",osm,osm_tertiary,5135897,101
OSM00103,O9722740869,O9723213703,0.117,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4763862,39.9311315;116.4750148,39.9311125",osm,osm_tertiary,5135897,102
OSM00104,O9723213703,O9722756330,0.0338,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4750148,39.9311125;116.4746191,39.9310931",osm,osm_tertiary,5135897,103
OSM00105,O9722756330,O9722756329,0.0673,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4746191,39.9310931;116.4738305,39.9310704",osm,osm_tertiary,5135897,104
OSM00106,O9722756329,O9722756328,0.0436,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4738305,39.9310704;116.4733252,39.9310100",osm,osm_tertiary,5135897,105
OSM00107,O9722756328,O9722756327,0.0339,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4733252,39.9310100;116.4729457,39.9309205",osm,osm_tertiary,5135897,106
OSM00108,O9722756327,O1842187358,0.025,congestion,0.6,true,姚家园路,OSM tertiary way 5135897,"116.4729457,39.9309205;116.4727037,39.9307928",osm,osm_tertiary,5135897,107
OSM00109,O35835744,O11505270148,0.241,normal,0.05,true,甜水园东街,OSM unclassified way 5135903,"116.4847504,39.9312883;116.4847920,39.9334552",osm,osm_unclassified,5135903,108
OSM00110,O11505270148,O1802398462,0.0086,normal,0.05,true,甜水园东街,OSM unclassified way 5135903,"116.4847920,39.9334552;116.4847935,39.9335324",osm,osm_unclassified,5135903,109
OSM00111,O1802398462,O1634975461,0.0138,normal,0.05,true,甜水园东街,OSM unclassified way 5135903,"116.4847935,39.9335324;116.4847930,39.9336562",osm,osm_unclassified,5135903,110
OSM00112,O1502668737,O3207684149,0.0034,normal,0.08,true,德胜门东大街,OSM tertiary way 5158566,"116.3915132,39.9491253;116.3914730,39.9491273",osm,osm_tertiary,5158566,111
OSM00113,O3207684149,O1190930481,0.0142,normal,0.08,true,德胜门东大街,OSM tertiary way 5158566,"116.3914730,39.9491273;116.3913062,39.9491238",osm,osm_tertiary,5158566,112
OSM00114,O1190930481,O32618837,0.0927,normal,0.08,true,德胜门东大街,OSM tertiary way 5158566,"116.3913062,39.9491238;116.3902187,39.9491138",osm,osm_tertiary,5158566,113
OSM00115,O32618837,O1190930418,0.5243,normal,0.08,true,德胜门东大街,OSM tertiary way 5158566,"116.3902187,39.9491138;116.3840687,39.9490650",osm,osm_tertiary,5158566,114
OSM00116,O1190930418,O324664313,0.1282,normal,0.08,true,德胜门东大街,OSM tertiary way 5158566,"116.3840687,39.9490650;116.3825655,39.9490494",osm,osm_tertiary,5158566,115
OSM00117,O324664313,O1190930478,0.032,normal,0.08,true,德胜门东大街,OSM tertiary way 5158566,"116.3825655,39.9490494;116.3821906,39.9490380",osm,osm_tertiary,5158566,116
